Gene Symbol,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9
Krba1,9.90113E-06,7.57083E-06,4.99213E-06,4.22232E-06,4.49889E-06,4.33288E-06,5.05814E-06,4.44578E-06,4.52602E-06
Krcc1,1.74018E-05,2.74608E-05,2.01545E-05,2.0287E-05,2.3942E-05,2.31044E-05,2.22862E-05,1.86903E-05,1.94247E-05
Kremen2,0,0,0,0,0,0,0,0,0
Kri1,1.10049E-05,7.53001E-06,6.78604E-06,7.10357E-06,4.39768E-06,4.24761E-06,3.91469E-06,3.12815E-06,2.84793E-06
Krr1,2.04092E-06,1.3461E-06,1.55437E-06,1.87835E-06,2.41044E-06,2.24313E-06,2.44317E-06,2.13312E-06,2.54922E-06
Krt1,0,0,0,0,0,0,0,0,0
Krt10,1.02E-05,6.43802E-06,5.3362E-06,4.95294E-06,5.67518E-06,7.41026E-06,9.68723E-06,6.93207E-06,8.08806E-06
Krt12,0,0,0,0,0,0,0,0,0
Krt13,0,0,0,0,0,0,0,0,0
Krt14,0,0,0,0,0,0,0,0,0
Krt15,0,0,0,0,0,0,0,0,0
Krt16,0,0,0,0,0,0,0,0,0
Krt17,0,0,0,0,0,0,0,0,0
Krt18,0.000235021,0.000205587,0.00019272,0.000184228,0.000171729,0.000163913,0.000164775,0.000152195,0.000160906
Krt19,2.73295E-11,1.07343E-08,7.09433E-08,1.93456E-07,1.55609E-07,1.67192E-07,3.5001E-07,1.49925E-07,2.34322E-07
Krt2,0,0,0,0,0,0,0,0,0
Krt20,0,0,0,0,0,0,0,0,0
Krt222,5.45235E-11,8.42407E-09,1.0198E-07,4.03215E-07,6.60658E-07,7.72317E-07,4.94701E-07,1.2269E-06,6.87888E-07
Krt23,1.98342E-06,4.43708E-06,3.46335E-06,4.1819E-06,4.80133E-06,3.31957E-06,3.48866E-06,4.35088E-06,2.65502E-06
Krt24,0,0,0,0,0,0,0,0,0
Krt25,0,0,0,0,0,0,0,0,0
Krt26,0,0,0,0,0,0,0,0,0
Krt27,0,0,0,0,0,0,0,0,0
Krt28,0,0,0,0,0,0,0,0,0
Krt31,0,0,0,0,0,0,0,0,0
Krt32,0,0,0,0,0,0,0,0,0
Krt33a,0,0,0,0,0,0,0,0,0
Krt33b,0,0,0,0,0,0,0,0,0
Krt34,0,0,0,0,0,0,0,0,0
Krt35,0,0,0,0,0,0,0,0,0
Krt36,0,0,0,0,0,0,0,0,0
Krt39,0,0,0,0,0,0,0,0,0
Krt4,0,0,0,0,0,0,0,0,0
Krt40,0,0,0,0,0,0,0,0,0
Krt42,0,0,0,0,0,0,0,0,0
Krt5,0,0,0,0,0,0,0,0,0
Krt6b,0,0,0,0,0,0,0,0,0
Krt7,0,0,0,0,0,0,0,0,0
Krt71,0,0,0,0,0,0,0,0,0
Krt72-ps,0,0,0,0,0,0,0,0,0
Krt73,0,0,0,0,0,0,0,0,0
Krt74,0,0,0,0,0,0,0,0,0
Krt75,0,0,0,0,0,0,0,0,0
Krt76,0,0,0,0,0,0,0,0,0
Krt77,0,0,0,0,0,0,0,0,0
Krt78,0,0,0,0,0,0,0,0,0
Krt79,1.4274E-07,2.65958E-07,5.10213E-08,1.10199E-09,1.16679E-10,2.26483E-11,6.60357E-26,0,0
Krt8,0.000115369,8.88311E-05,9.26523E-05,8.9936E-05,8.72897E-05,7.7199E-05,8.81627E-05,9.60838E-05,9.58658E-05
Krt80,1.51132E-09,1.37959E-07,2.28975E-07,1.02567E-07,1.84843E-08,6.5185E-08,8.66195E-08,1.30563E-07,4.44474E-09
Krt82;Krt6a,0,0,0,0,0,0,0,0,0
Krt84,0,0,0,0,0,0,0,0,0
Krt86,0,0,0,0,0,0,0,0,0
Krt9,0,0,0,0,0,0,0,0,0
Krtap1-3,0,0,0,0,0,0,0,0,0
Krtap1-4,0,0,0,0,0,0,0,0,0
Krtap1-5,0,0,0,0,0,0,0,0,0
Krtap10-10,0,0,0,0,0,0,0,0,0
Krtap10-4,0,0,0,0,0,0,0,0,0
Krtap11-1,0,0,0,0,0,0,0,0,0
Krtap12-1,0,0,0,0,0,0,0,0,0
Krtap13,0,0,0,0,0,0,0,0,0
Krtap13-1,0,0,0,0,0,0,0,0,0
Krtap14,0,0,0,0,0,0,0,0,0
Krtap15,0,0,0,0,0,0,0,0,0
Krtap16-1,0,0,0,0,0,0,0,0,0
Krtap16-10,0,0,0,0,0,0,0,0,0
Krtap16-4,0,0,0,0,0,0,0,0,0
Krtap16-5,0,0,0,0,0,0,0,0,0
Krtap16-7,0,0,0,0,0,0,0,0,0
